date,method,rank,symbol,sector,sector_class,market_cap,sel_mos,piotroski,altman_z,cycle_flag,years_history,price,last_price_date
2021-01-28,dcf_fcff,1,CCU,Consumer Defensive,operating,3066874900.0,0.5,6,831.135,NORMAL,9,16.6,2021-01-28
2021-01-28,dcf_fcff,2,EC,Energy,operating,24916716976.08,0.5,6,1.235,NORMAL,9,12.12,2021-01-28
2021-01-28,dcf_fcff,3,RZB,,operating,1841718060.0,0.8735,6,0.515,NORMAL,5,28.83,2021-01-28
2021-01-28,dcf_fcff,4,ARLP,Energy,operating,653395017.0,0.1919,6,1.463,TROUGH_CYCLE,9,5.1,2021-01-28
2021-01-28,dcf_fcff,5,HCC,Energy,operating,1199271970.0,0.1969,5,4.005,NORMAL,5,23.29,2021-01-28
2021-01-28,dcf_fcff,6,SIG,Consumer Cyclical,operating,1916600000.0,0.1027,7,2.223,NORMAL,9,37.0,2021-01-28
2021-01-28,dcf_fcff,7,RYZ,Consumer Defensive,operating,482919049.4,0.1877,3,2.621,TROUGH_CYCLE,10,12.7,2021-01-28
2021-01-28,dcf_fcff,8,QUAD,Industrials,operating,231500000.0,0.1765,5,1.658,TROUGH_CYCLE,9,4.63,2021-01-28
2021-01-28,dcf_fcff,9,CVI,Energy,operating,1462275000.0,0.5,6,2.68,NORMAL,9,14.55,2021-01-28
2021-01-28,dcf_fcff,10,BZH,Consumer Cyclical,operating,546251520.0,0.1479,7,2.104,NORMAL,10,18.24,2021-01-28
2021-01-28,dcf_fcff,11,CLMB,Technology,operating,77355520.0,0.1423,4,2.364,NORMAL,10,4.51,2021-01-28
2021-01-28,dcf_fcff,12,CYD,Industrials,operating,659452800.6,0.6359,6,1.653,NORMAL,9,16.14,2021-01-28
2021-01-28,dcf_fcff,13,SBH,Consumer Cyclical,operating,1717906400.0,0.1691,5,2.284,TROUGH_CYCLE,10,14.98,2021-01-28
2021-01-28,dcf_fcff,14,BBSI,Industrials,operating,497355400.0,0.1369,7,2.077,NORMAL,9,16.15,2021-01-28
2021-01-28,dcf_fcff,15,AMCX,Communication Services,operating,2722946380.0,0.5,6,2.001,NORMAL,9,47.74,2021-01-28
2021-01-28,dcf_fcff,16,DMLP,Energy,operating,430670120.0,0.1624,3,59.259,NORMAL,9,12.62,2021-01-28
2021-01-28,dcf_fcff,17,CXT,Industrials,operating,1499715000.0,0.1893,6,2.031,TROUGH_CYCLE,5,26.45,2021-01-28
2021-01-28,dcf_fcff,18,HNRG,Energy,operating,40236490.0,0.147,3,1.237,TROUGH_CYCLE,9,1.33,2021-01-28
2021-01-28,dcf_fcff,19,SNX,Technology,operating,4333625460.0,0.4107,4,2.503,NORMAL,10,84.58,2021-01-28
2021-01-28,dcf_fcff,20,TNL,Consumer Cyclical,operating,4247628000.0,0.157,5,2.296,NORMAL,9,45.97,2021-01-28
2021-01-28,earnings_yield_gap,1,EC,Energy,operating,24916716976.08,0.5,6,1.235,NORMAL,9,12.12,2021-01-28
2021-01-28,earnings_yield_gap,2,EDN,Utilities,utility,152988512.5,0.1971,7,1.412,NORMAL,9,3.49,2021-01-28
2021-01-28,earnings_yield_gap,3,CCU,Consumer Defensive,operating,3066874900.0,0.5,6,831.135,NORMAL,9,16.6,2021-01-28
2021-01-28,earnings_yield_gap,4,CEPU,Utilities,utility,350704610.0,0.1998,6,132.252,NORMAL,9,2.33,2021-01-28
2021-01-28,earnings_yield_gap,5,GGAL,Financial Services,financial,1109618650.0,0.0679,9,0.926,NORMAL,9,7.75,2021-01-28
2021-01-28,earnings_yield_gap,6,HTT,Financial Services,financial,627956615.99,0.1154,8,2.725,NORMAL,6,2.09,2021-01-28
2021-01-28,earnings_yield_gap,7,GTX,Consumer Cyclical,operating,481423924.82,0.8417,4,0.66,NORMAL,5,6.34,2021-01-28
2021-01-28,earnings_yield_gap,8,ARLP,Energy,operating,653395017.0,0.1919,6,1.463,TROUGH_CYCLE,9,5.1,2021-01-28
2021-01-28,earnings_yield_gap,9,CRON,Healthcare,operating,3592669760.0,-0.143,3,7.557,TROUGH_CYCLE,7,10.48,2021-01-28
2021-01-28,earnings_yield_gap,10,RZB,,operating,1841718060.0,0.8735,6,0.515,NORMAL,5,28.83,2021-01-28
2021-01-28,earnings_yield_gap,11,ASA,Financial Services,financial,407016995.5,0.1864,5,306.664,NORMAL,10,21.1,2021-01-28
2021-01-28,earnings_yield_gap,12,DRD,Basic Materials,operating,818171900.64,-0.0917,7,1.366,PEAK_CYCLE,10,10.44,2021-01-28
2021-01-28,earnings_yield_gap,13,NRG,Utilities,utility,10882080000.0,-0.0718,6,1.614,NORMAL,9,41.22,2021-01-28
2021-01-28,earnings_yield_gap,14,ADEA,Technology,operating,438566880.0,0.0857,7,1.063,NORMAL,10,5.23,2021-01-28
2021-01-28,earnings_yield_gap,15,CMBT,Industrials,operating,1654324391.61,0.1163,8,1.835,NORMAL,5,7.87,2021-01-28
2021-01-28,earnings_yield_gap,16,FINV,Financial Services,financial,1083591295.88,0.0561,3,1.47,PEAK_CYCLE,5,3.49,2021-01-28
2021-01-28,earnings_yield_gap,17,TRMD,Energy,operating,551300000.0,0.074,5,1.672,PEAK_CYCLE,9,7.45,2021-01-28
2021-01-28,earnings_yield_gap,18,PBF,Energy,operating,1157606340.5,0.196,7,3.278,NORMAL,9,9.5,2021-01-28
2021-01-28,earnings_yield_gap,19,FSTR,Industrials,operating,160937280.0,0.119,6,3.046,NORMAL,9,15.12,2021-01-28
2021-01-28,earnings_yield_gap,20,BWLP,Industrials,operating,1011872880.0,0.1566,8,1.543,NORMAL,5,7.32,2021-01-28
2021-01-28,ev_gross_profit,1,CCU,Consumer Defensive,operating,3066874900.0,0.5,6,831.135,NORMAL,9,16.6,2021-01-28
2021-01-28,ev_gross_profit,2,LPL,Technology,operating,7909323656.5,-0.0494,4,617.818,TROUGH_CYCLE,9,10.15,2021-01-28
2021-01-28,ev_gross_profit,3,TEO,Communication Services,operating,2829946032.0,0.1993,4,62.298,TROUGH_CYCLE,9,6.57,2021-01-28
2021-01-28,ev_gross_profit,4,RDY,Healthcare,operating,10969716100.0,-0.1479,7,81.679,NORMAL,9,13.21,2021-01-28
2021-01-28,ev_gross_profit,5,CEPU,Utilities,utility,350704610.0,0.1998,6,132.252,NORMAL,9,2.33,2021-01-28
2021-01-28,ev_gross_profit,6,TM,Consumer Cyclical,operating,203917189700.0,0.115,9,76.575,NORMAL,9,143.3,2021-01-28
2021-01-28,ev_gross_profit,7,NVO,Healthcare,operating,165204000000.0,-0.0031,4,20.796,NORMAL,10,35.3,2021-01-28
2021-01-28,ev_gross_profit,8,IMOS,Technology,operating,914392398.0,0.1085,8,26.413,NORMAL,9,24.81,2021-01-28
2021-01-28,ev_gross_profit,9,ATHM,Communication Services,operating,13829109230.37,-0.0902,5,21.201,NORMAL,9,115.71,2021-01-28
2021-01-28,ev_gross_profit,10,JD,Consumer Cyclical,operating,135621452010.0,0.1487,8,19.762,NORMAL,9,91.41,2021-01-28
2021-01-28,ev_gross_profit,11,USNA,Consumer Defensive,operating,1962119820.0,0.128,4,11.385,NORMAL,9,85.99,2021-01-28
2021-01-28,ev_gross_profit,12,HLF,Consumer Defensive,operating,7307976000.0,0.0989,7,4.072,NORMAL,9,51.61,2021-01-28
2021-01-28,ev_gross_profit,13,CARG,Consumer Cyclical,operating,3388209359.5,0.1481,3,17.275,NORMAL,5,29.87,2021-01-28
2021-01-28,ev_gross_profit,14,CXDO,Communication Services,operating,108919041.0,0.148,6,11.58,NORMAL,9,7.0,2021-01-28
2021-01-28,ev_gross_profit,15,NATR,Consumer Defensive,operating,319130490.0,-0.0855,6,4.579,NORMAL,9,16.23,2021-01-28
2021-01-28,ev_gross_profit,16,STC,Financial Services,insurance,1137293640.0,0.1089,4,2.77,NORMAL,9,47.88,2021-01-28
2021-01-28,ev_gross_profit,17,TREE,Financial Services,financial,4778220150.0,0.1474,5,5.671,NORMAL,9,326.85,2021-01-28
2021-01-28,ev_gross_profit,18,RHI,Industrials,operating,7543432800.0,0.1132,5,7.692,NORMAL,9,64.8,2021-01-28
2021-01-28,ev_gross_profit,19,TKC,Communication Services,operating,4839572221.22,-0.0966,7,6.639,NORMAL,9,5.54,2021-01-28
2021-01-28,ev_gross_profit,20,KFRC,Industrials,operating,1043590800.0,0.1143,6,8.903,NORMAL,9,43.9,2021-01-28
2021-01-28,rd_capitalized_dcf,1,CCU,Consumer Defensive,operating,3066874900.0,0.5,6,831.135,NORMAL,9,16.6,2021-01-28
2021-01-28,rd_capitalized_dcf,2,EC,Energy,operating,24916716976.08,0.5,6,1.235,NORMAL,9,12.12,2021-01-28
2021-01-28,rd_capitalized_dcf,3,HCC,Energy,operating,1199271970.0,0.1969,5,4.005,NORMAL,5,23.29,2021-01-28
2021-01-28,rd_capitalized_dcf,4,ARLP,Energy,operating,653395017.0,0.1919,6,1.463,TROUGH_CYCLE,9,5.1,2021-01-28
2021-01-28,rd_capitalized_dcf,5,RZB,,operating,1841718060.0,0.8735,6,0.515,NORMAL,5,28.83,2021-01-28
2021-01-28,rd_capitalized_dcf,6,GTX,Consumer Cyclical,operating,481423924.82,0.8417,4,0.66,NORMAL,5,6.34,2021-01-28
2021-01-28,rd_capitalized_dcf,7,CPS,Consumer Cyclical,operating,538806526.08,0.1913,6,2.107,NORMAL,9,31.31,2021-01-28
2021-01-28,rd_capitalized_dcf,8,EGY,Energy,operating,131297460.0,0.1926,4,2.065,NORMAL,9,2.22,2021-01-28
2021-01-28,rd_capitalized_dcf,9,ATRO,Industrials,operating,433327650.0,0.1157,5,2.762,TROUGH_CYCLE,9,13.35,2021-01-28
